merchant_id,corridor,category,name,raw_category,address,city,region,country,latitude,longitude,website,phone,source,first_seen_month,geo_precision
ChIJ2e6Uu2kU2jERJNBBNMoMnN8,CN->SG,Beverage,Rasa Rasa @ Yishun,Coffee shop,348 Yishun Ave 11,Singapore,,SG,1.4265573,103.8428669,http://www.tastywok.sg/,+65 6352 0336,google_maps_vendor_export,2026-08,crawler_exact
ChIJ5WGfo3o92jERLPxTnQ3j2Os,CN->SG,Beverage,乐满家乡小厨 Le Man Seafood Restaurant 622A,Coffee shop,622A Tampines Ave 12,Singapore,,SG,1.3610215,103.9402422,https://m.facebook.com/pages/category/food-beverage/Le-Man-Seafood-Restaurant-109521940714775/,+65 8868 9648,google_maps_vendor_export,2026-08,crawler_exact
ChIJB4DN1L4R2jERRJdF4b8bKN8,CN->SG,Beverage,Tiong Wah Restaurant,Coffee shop,"16 Teck Whye Ln, Block 16",Singapore,,SG,1.3784114,103.7546976,"https://www.burpple.com/tiong-wah-restaurant?bp_ref=/neighbourhoods/sg/west,-singapore",,google_maps_vendor_export,2026-08,crawler_exact
ChIJM68ux0w92jER9yE2WrntyL4,CN->SG,Beverage,New Rezki Restaurant.pte.ltd,Coffee shop,203 Bedok North Street 1,Singapore,,SG,1.3256433,103.9290071,https://www.foodpanda.sg/restaurant/v8sm/new-rezki-restaurant,+65 6573 6837,google_maps_vendor_export,2026-08,crawler_exact
ChIJt_9UaBs92jERInQc82L3oP4,CN->SG,Beverage,Afghanistan Family Restaurant,Coffee shop,"201E Tampines Street 23, #01-56, Tampines N 2, Shopping, Street",Singapore,,SG,1.3535555,103.9539729,undefined,+65 9829 4907,google_maps_vendor_export,2026-08,crawler_exact
ChIJydiQ65YZ2jERt_T20MW04xo,CN->SG,Beverage,Izakaya Nijumaru 居酒屋二重丸,Izakaya restaurant,"5 Koek Rd, #02-10/12",Singapore,,SG,1.3019385,103.840625,https://www.facebook.com/pages/Izakaya-Nijumaru-Restaurant/126326744091762,+65 6235 6693,google_maps_vendor_export,2026-08,crawler_exact
ChIJ-0DAQI4a2jERVIPajSdgj58,CN->SG,Food,Sichuan Tianfu Restaurant (Clementi) 天府川菜 (金文泰),Restaurant,"3151 Commonwealth Ave W, #01-17/18 Grantral Mall @ Clementi",Singapore,,SG,1.3142853,103.7650862,http://www.tianfu.com.sg/,+65 6777 1866,google_maps_vendor_export,2026-08,crawler_exact
ChIJ-5vUSgsZ2jER8xAGp9SfK68,CN->SG,Food,Nanbantei Japanese Restaurant (Chinatown Point),Yakitori restaurant,"133 New Bridge Rd, #02-40 Chinatown Point",Singapore,,SG,1.2855584,103.8450154,http://www.nanbantei.com.sg/,+65 6443 5659,google_maps_vendor_export,2026-08,crawler_exact
ChIJ-YcVucUV2jERo4NKS9Wl7WE,CN->SG,Food,Nandhana’s Restaurant @ Yishun,Indian restaurant,441 Sembawang Rd,Singapore,,SG,1.428485,103.826507,http://www.nandhanas.com/,+65 6015 0276,google_maps_vendor_export,2026-08,crawler_exact
ChIJ-acM4LcZ2jERI5kCVYDvokk,CN->SG,Food,Qtech Cafe Restaurant,Restaurant,211 Syed Alwi Rd,Singapore,,SG,1.307781,103.857714,undefined,+65 9639 6395,google_maps_vendor_export,2026-08,crawler_exact
ChIJ-b2mGjgT2jERStYhYNjd0eU,CN->SG,Food,KNS Restaurant,Indian Muslim restaurant,"120 Woodlands Ave 1, #01-02 ACE The Place Community Club",Singapore,,SG,1.427508,103.7920485,https://knsrestaurant.com/,+65 6974 8267,google_maps_vendor_export,2026-08,crawler_exact
ChIJ-d2VabkR2jERYQ1K_MKnO1M,CN->SG,Food,Phoenix Indian Restaurant,Indian restaurant,"KidsSTOP 21, Jurong Town Hall Rd, Omni theatre building",Singapore,,SG,1.334501,103.735502,https://phoenixindianrestaurant.oddle.me/,+65 6468 1044,google_maps_vendor_export,2026-08,crawler_exact
ChIJ-zvlIDQZ2jERQmjhYTdSKMg,CN->SG,Food,Claudine Restaurant,Restaurant,39C Harding Rd,Singapore,,SG,1.3048733,103.8135205,https://www.claudinerestaurant.com/,+65 8031 9935,google_maps_vendor_export,2026-08,crawler_exact
ChIJ01fgzLUe2jERxlhvImcbZ7g,CN->SG,Food,Quayside Isle,Restaurant,31 Ocean Way,Singapore,,SG,1.2476808,103.8420723,http://www.quaysideisle.com/,+65 6887 3502,google_maps_vendor_export,2026-08,crawler_exact
ChIJ04oiK_kZ2jERX0ctMP0WwiY,CN->SG,Food,Miyabi Japanese Restaurant,Restaurant,"1 Plymouth Ave, Level 2 Raffles Town Club",Singapore,,SG,1.3219317,103.8245858,https://www.rafflestownclub.com.sg/miyabi-japanese-restaurant,+65 6357 3335,google_maps_vendor_export,2026-08,crawler_exact
ChIJ09w94vg92jERb-r87uDlCOc,CN->SG,Food,Sum Dim Sum (Bedok),Dim sum restaurant,"900 Bedok North Rd, #02-02 HometeamNS Bedok",Singapore,,SG,1.3414933,103.918978,http://www.sumdimsum.sg/,+65 8818 9161,google_maps_vendor_export,2026-08,crawler_exact
ChIJ0zevoBEZ2jER9eYTLSlcX1Q,CN->SG,Food,NAEUM Restaurant,Fine dining restaurant,161 Telok Ayer St,Singapore,,SG,1.2803318,103.8475438,http://www.naeum.sg/,+65 8830 5016,google_maps_vendor_export,2026-08,crawler_exact
ChIJ1-cdD7EZ2jERRwu1YXcr6jk,CN->SG,Food,Alaturka Mediterranean & Turkish Restaurant,Turkish restaurant,15 Bussorah St,Singapore,,SG,1.301179,103.859969,http://www.alaturka.com.sg/,+65 9434 6026,google_maps_vendor_export,2026-08,crawler_exact
ChIJ10ST3Vo92jERg2zwKGJ5FKs,CN->SG,Food,Soup Restaurant (Jewel),Chinese restaurant,"78 Airport Boulevard JEWEL #03 - 201, 78 Airport Blvd., #03 - 201",Singapore,,SG,1.3597824,103.9904808,http://www.souprestaurant.com.sg/index_ori.html,+65 6908 3274,google_maps_vendor_export,2026-08,crawler_exact
ChIJ1TIAJCMa2jERxEA9Zo_-TMs,CN->SG,Food,Chang Korean Charcoal BBQ Restaurant,Korean barbecue restaurant,"71 Loewen Rd, #01-01",Singapore,,SG,1.3019405,103.8116485,http://changbbq.com.sg/,+65 6473 9005,google_maps_vendor_export,2026-08,crawler_exact
ChIJ1UPefHIZ2jERNw75Jntk0oM,CN->SG,Food,KOK Sen Restaurant,Singaporean restaurant,4 Keong Saik Rd.,Singapore,,SG,1.2794333,103.8416097,https://wa.me/6597272533,+65 9727 2533,google_maps_vendor_export,2026-08,crawler_exact
ChIJ1_EJz8cZ2jERdsetNXi_zHc,CN->SG,Food,Kailash Parbat Restaurant,Indian restaurant,93 Syed Alwi Rd,Singapore,,SG,1.3095518,103.855504,http://www.kailashparbat.com.sg/,+65 6291 5545,google_maps_vendor_export,2026-08,crawler_exact
