merchant_id,corridor,category,as_of_month,base_rate_pm,horizon_rate_pm,momentum_score,rating_t,rating_t_plus_h,rating_change,base_reviews_at_t,momentum_pct_rank,y_high_potential,rating_guard_triggered
ChIJ-0DAQI4a2jERVIPajSdgj58,CN->SG,Food,2025-06,43.0,59.0,0.3101549283038394,4.75,4.78,0.03000000000000025,1439,0.6988505747126437,0.0,0
ChIJ-1eu0KMX2jER13MfvvTYCzI,CN->SG,Retail,2025-06,6.333333333333333,12.0,0.5725191927713307,3.9,3.92,0.020000000000000018,296,0.9142857142857143,1.0,0
ChIJ-5vUSgsZ2jER8xAGp9SfK68,CN->SG,Food,2025-06,24.666666666666668,16.666666666666668,-0.3735135083015617,4.6,4.55,-0.04999999999999982,896,0.09195402298850575,0.0,0
ChIJ-QEBJw492jERA4T6m9TNxUo,CN->SG,Retail,2025-06,16.333333333333332,19.333333333333332,0.15963014559188382,4.15,4.18,0.02999999999999936,612,0.6,0.0,0
ChIJ-YcVucUV2jERo4NKS9Wl7WE,CN->SG,Food,2025-06,7.333333333333333,8.333333333333334,0.11332868530700324,4.65,4.63,-0.020000000000000462,267,0.49195402298850577,0.0,0
ChIJ-YdSW2w8TjURXQqwi5_BYOw,SG->JP,Retail,2025-06,1.3333333333333333,0.6666666666666666,-0.33647223662121284,3.56,3.59,0.029999999999999805,48,0.25517241379310346,0.0,0
ChIJ-YoHy9oCTjURxr9C5njIJ8k,SG->JP,Retail,2025-06,20.0,11.666666666666666,-0.5055485666651469,3.8,3.74,-0.05999999999999961,611,0.1724137931034483,0.0,0
ChIJ-ZXewTkY2jER7zyN2IJInWg,CN->SG,Hotel,2025-06,5.333333333333333,5.333333333333333,0.0,3.57,3.53,-0.040000000000000036,152,0.292,0.0,0
ChIJ-a1KOwAZ2jERbfRMkBGT2Fc,CN->SG,Retail,2025-06,1.3333333333333333,0.0,-0.8472978603872034,4.85,4.9,0.05000000000000071,42,0.017142857142857144,0.0,0
ChIJ-acM4LcZ2jERI5kCVYDvokk,CN->SG,Food,2025-06,9.333333333333334,7.333333333333333,-0.2151113796169457,4.39,4.36,-0.02999999999999936,246,0.16551724137931034,0.0,0
ChIJ-b2mGjgT2jERStYhYNjd0eU,CN->SG,Food,2025-06,14.666666666666666,12.0,-0.18658595558041213,3.3,3.27,-0.029999999999999805,438,0.18160919540229886,0.0,1
ChIJ-ciDSZKIGGARK3ruxPUTLyw,SG->JP,Retail,2025-06,1.3333333333333333,1.6666666666666667,0.13353139262452285,3.23,3.19,-0.040000000000000036,59,0.7310344827586207,0.0,1
ChIJ-d2VabkR2jERYQ1K_MKnO1M,CN->SG,Food,2025-06,18.666666666666668,35.333333333333336,0.6138104383234242,4.48,4.44,-0.040000000000000036,740,0.9080459770114943,1.0,0
ChIJ-zvlIDQZ2jERQmjhYTdSKMg,CN->SG,Food,2025-06,12.333333333333334,11.666666666666666,-0.05129329438755059,4.46,4.42,-0.040000000000000036,657,0.31494252873563217,0.0,0
ChIJ01fgzLUe2jERxlhvImcbZ7g,CN->SG,Food,2025-06,23.0,16.666666666666668,-0.30637420546393335,4.39,4.4,0.010000000000000675,814,0.11264367816091954,0.0,0
ChIJ04Bw1zAY2jERYwqFp3RVlg4,CN->SG,Hotel,2025-06,2.0,2.0,0.0,3.82,3.78,-0.040000000000000036,126,0.292,0.0,0
ChIJ04oiK_kZ2jERX0ctMP0WwiY,CN->SG,Food,2025-06,3.6666666666666665,3.6666666666666665,0.0,4.01,3.91,-0.09999999999999964,103,0.3563218390804598,0.0,0
ChIJ04uWMIFT5TQRzL22cLcdqiI,SG->JP,Food,2025-06,0.6666666666666666,3.3333333333333335,0.9555114450274366,4.46,4.45,-0.009999999999999787,78,1.0,1.0,0
ChIJ06Qw3T8qIDUR4Ihq3EpkRSw,SG->JP,Retail,2025-06,1.0,1.6666666666666667,0.287682072451781,4.34,4.36,0.020000000000000462,46,0.8448275862068966,1.0,0
ChIJ07kCGPwZ2jERGl-Ek5HhQVY,CN->SG,Retail,2025-06,12.333333333333334,16.0,0.24294617861038947,4.17,4.14,-0.03000000000000025,500,0.6857142857142857,0.0,0
ChIJ09w94vg92jERb-r87uDlCOc,CN->SG,Food,2025-06,56.0,33.333333333333336,-0.506934568273024,4.58,4.6,0.019999999999999574,1470,0.05057471264367816,0.0,0
ChIJ09xRq0IX2jER80us2CFZbLY,CN->SG,Retail,2025-06,10.0,10.0,0.0,4.37,4.33,-0.040000000000000036,286,0.3942857142857143,0.0,0
ChIJ0YMotIdi4TQRi0btX64w3PE,SG->JP,Hotel,2025-06,2.0,5.0,0.6931471805599452,3.85,3.78,-0.07000000000000028,134,0.9615384615384616,1.0,0
ChIJ0dAP3r-AGGARSjERItlFuLY,SG->JP,Hotel,2025-06,4.333333333333333,7.333333333333333,0.4462871026284194,3.67,3.6,-0.06999999999999984,259,0.875,1.0,0
ChIJ0dq0AitT5TQRTZ1X-6lcddU,SG->JP,Food,2025-06,4.0,0.6666666666666666,-1.0986122886681096,4.74,4.73,-0.009999999999999787,68,0.03389830508474576,0.0,0
ChIJ0xUUj2Y7BmARvUOhVoTdjqY,SG->JP,Retail,2025-06,2.3333333333333335,2.3333333333333335,0.0,3.51,3.52,0.010000000000000231,91,0.5896551724137931,0.0,0
ChIJ0zevoBEZ2jER9eYTLSlcX1Q,CN->SG,Food,2025-06,6.666666666666667,10.0,0.36101334553733055,4.59,4.6,0.009999999999999787,252,0.7517241379310344,0.0,0
ChIJ1-cdD7EZ2jERRwu1YXcr6jk,CN->SG,Food,2025-06,86.0,71.33333333333333,-0.18462305378223398,4.5,4.49,-0.009999999999999787,2682,0.1839080459770115,0.0,0
ChIJ10ST3Vo92jERg2zwKGJ5FKs,CN->SG,Food,2025-06,16.0,30.0,0.6007738604289301,4.53,4.53,0.0,632,0.8988505747126436,1.0,0
ChIJ14BXzDsT2jERaRYCDuj0c94,CN->SG,Retail,2025-06,17.0,23.333333333333332,0.3014753945841169,4.51,4.54,0.03000000000000025,583,0.7542857142857143,0.0,0
ChIJ14X4KGwX2jERE6qkZNS2JlY,CN->SG,Retail,2025-06,4.0,3.6666666666666665,-0.06899287148695143,3.65,3.66,0.010000000000000231,162,0.32571428571428573,0.0,0
ChIJ1R35K4FT5TQRcyLApip8m0E,SG->JP,Beverage,2025-06,2.3333333333333335,2.6666666666666665,0.09531017980432477,4.19,4.15,-0.040000000000000036,91,0.8571428571428571,1.0,0
ChIJ1TIAJCMa2jERxEA9Zo_-TMs,CN->SG,Food,2025-06,20.0,12.0,-0.4795730802618863,4.22,4.2,-0.019999999999999574,648,0.05747126436781609,0.0,0
ChIJ1UPefHIZ2jERNw75Jntk0oM,CN->SG,Food,2025-06,38.0,48.333333333333336,0.23503833896635928,4.01,4.06,0.04999999999999982,1687,0.632183908045977,0.0,0
ChIJ1VWOUQ492jERT6ShQTPTOZc,CN->SG,Retail,2025-06,40.666666666666664,51.333333333333336,0.22793206804600707,4.2,4.12,-0.08000000000000007,1980,0.6628571428571428,0.0,0
ChIJ1ZD3MgAP2jERQvGVLFKfqVQ,CN->SG,Retail,2025-06,2.6666666666666665,3.3333333333333335,0.1670540846631663,4.82,4.83,0.009999999999999787,152,0.6114285714285714,0.0,0
ChIJ1_EJz8cZ2jERdsetNXi_zHc,CN->SG,Food,2025-06,43.333333333333336,44.333333333333336,0.022305757514298197,4.11,4.05,-0.0600000000000005,1514,0.38620689655172413,0.0,0
ChIJ1bio5vwV2jERYTVD256o8FQ,CN->SG,Food,2025-06,16.333333333333332,14.666666666666666,-0.10109611687136866,3.94,3.95,0.010000000000000231,567,0.25517241379310346,0.0,0
ChIJ1ceJAYIZ2jERBDq8G-PB1Ck,CN->SG,Food,2025-06,7.666666666666667,5.666666666666667,-0.2623642644674913,3.98,4.01,0.029999999999999805,230,0.1425287356321839,0.0,0
ChIJ1d0-d6oZ2jERbqzDiEHTuS8,CN->SG,Food,2025-06,2.6666666666666665,1.3333333333333333,-0.45198512374305744,4.41,4.43,0.019999999999999574,96,0.06436781609195402,0.0,0
ChIJ1e3y99sZ2jERjIm62pEnUS4,CN->SG,Hotel,2025-06,1.3333333333333333,3.6666666666666665,0.6931471805599454,3.4,3.37,-0.029999999999999805,105,0.964,0.0,1
ChIJ1eTVWABT5TQRHpecD-naa20,SG->JP,Food,2025-06,0.3333333333333333,1.0,0.40546510810816444,4.59,4.6,0.009999999999999787,52,0.8983050847457628,1.0,0
