merchant_id,corridor,category,latitude,longitude,geo_precision,hotspot_min_dist_km,hotspot_proximity_score,hotspot_count_3km,nearest_hotspot,review_lang_share_source,n_reviews_sampled,name_script_source_share,exposure_score,exposure_components
ChIJ2e6Uu2kU2jERJNBBNMoMnN8,CN->SG,Beverage,1.4265573,103.8428669,crawler_exact,13.595,0.001117,0,Orchard Road,,0,0.0,0.29048582995951416,2
ChIJ5WGfo3o92jERLPxTnQ3j2Os,CN->SG,Beverage,1.3610215,103.9402422,crawler_exact,5.488,0.06432,0,Jewel Changi,,0,0.20689655172413793,0.6977058029689609,2
ChIJB4DN1L4R2jERRJdF4b8bKN8,CN->SG,Beverage,1.3784114,103.7546976,crawler_exact,11.852,0.00267,0,Orchard Road,,0,0.0,0.3107287449392713,2
ChIJM68ux0w92jER9yE2WrntyL4,CN->SG,Beverage,1.3256433,103.9290071,crawler_exact,7.749,0.020762,0,Jewel Changi,,0,0.0,0.37483130904183537,2
ChIJt_9UaBs92jERInQc82L3oP4,CN->SG,Beverage,1.3535555,103.9539729,crawler_exact,4.027,0.133537,0,Jewel Changi,,0,0.0,0.5172064777327936,2
ChIJydiQ65YZ2jERt_T20MW04xo,CN->SG,Beverage,1.3019385,103.840625,crawler_exact,1.031,0.597097,5,Orchard Road,,0,0.2857142857142857,0.8893387314439947,2
ChIJ-0DAQI4a2jERVIPajSdgj58,CN->SG,Food,1.3142853,103.7650862,crawler_exact,7.491,0.023625,0,Orchard Road,,0,0.18421052631578946,0.641025641025641,2
ChIJ-5vUSgsZ2jER8xAGp9SfK68,CN->SG,Food,1.2855584,103.8450154,crawler_exact,0.452,0.797754,7,Chinatown / Niu Che Shui,,0,0.0,0.6933198380566802,2
ChIJ-YcVucUV2jERo4NKS9Wl7WE,CN->SG,Food,1.428485,103.826507,crawler_exact,13.766,0.001025,0,Orchard Road,,0,0.0,0.2898110661268556,2
ChIJ-acM4LcZ2jERI5kCVYDvokk,CN->SG,Food,1.307781,103.857714,crawler_exact,0.824,0.662469,6,Bugis Street,,0,0.0,0.6460863697705803,2
ChIJ-b2mGjgT2jERStYhYNjd0eU,CN->SG,Food,1.427508,103.7920485,crawler_exact,14.342,0.000768,0,Orchard Road,,0,0.0,0.28643724696356276,2
ChIJ-d2VabkR2jERYQ1K_MKnO1M,CN->SG,Food,1.334501,103.735502,crawler_exact,11.203,0.003693,0,Orchard Road,,0,0.0,0.3188259109311741,2
ChIJ-zvlIDQZ2jERQmjhYTdSKMg,CN->SG,Food,1.3048733,103.8135205,crawler_exact,2.032,0.362026,1,Orchard Road,,0,0.0,0.6015519568151146,2
